SVC_INDUTY_CD,SVC_INDUTY_CD_NM
CS000000,서비스업종전체
CS100000,외식업
CS200000,서비스업
CS300000,도소매업
CS100001,한식음식점
CS100002,중국집
CS100003,일식집
CS100004,양식집
CS100005,분식집
CS100006,패스트푸드점
CS100007,치킨집
CS100008,제과점
CS100009,커피음료
CS100010,호프간이주점
CS200001,입시보습학원
CS200002,외국어학원
CS200003,예체능학원
CS200004,치과의원
CS200005,한의원
CS200006,일반의원
CS200007,보육시설
CS200008,부동산중개업
CS200009,인테리어
CS200010,노래방
CS200011,PC방
CS200012,당구장
CS200013,골프연습장
CS200014,헬스클럽
CS200015,노인요양시설
CS200016,미용실
CS200017,네일숍
CS200018,피부관리실
CS200019,여관업
CS200020,세탁소
CS200021,자동차수리
CS200022,자동차미용
CS300001,슈퍼마켓
CS300002,편의점
CS300003,컴퓨터판매수리
CS300004,휴대폰
CS300005,정육점
CS300006,과일채소
CS300007,의류점
CS300008,패션잡화
CS300009,약국
CS300010,문구점
CS300011,화장품
