ALLEY_TRDAR_NO,ALLEY_TRDAR_NM,SIGNGU_CD,ADSTRD_CD,SIGNGU_CD_NM,ADSTRD_CD_NM
12285,자하문로_A,11110,11110515,종로구,청운효자동
12311,자하문로_B,11110,11110515,종로구,청운효자동
12366,자하문로7길,11110,11110515,종로구,청운효자동
12339,사직로8길,11110,11110530,종로구,사직동
12292,자하문로9길,11110,11110530,종로구,사직동
12287,율곡로3길,11110,11110540,종로구,삼청동
12290,북촌로5가길,11110,11110540,종로구,삼청동
12314,삼청로,11110,11110540,종로구,삼청동
12161,평창11길,11110,11110560,종로구,평창동
12153,진흥로_A,11110,11110560,종로구,평창동
12149,평창문화로,11110,11110560,종로구,평창동
12286,창덕궁1길,11110,11110600,종로구,가회동
12299,계동길,11110,11110600,종로구,가회동
13649,율곡로14길,11110,11110630,종로구,종로5.6가동
12379,대학로,11110,11110640,종로구,이화동
13508,동숭길,11110,11110640,종로구,이화동
12322,성균관로,11110,11110650,종로구,혜화동
12336,종로51길,11110,11110670,종로구,창신1동
12343,창신길,11110,11110680,종로구,창신2동
12328,종로_A,11110,11110700,종로구,숭인1동
12350,종로_C,11110,11110710,종로구,숭인2동
12330,종로_B,11110,11110710,종로구,숭인2동
12446,청계천로,11110,11110710,종로구,숭인2동
12357,숭인동길,11110,11110710,종로구,숭인2동
12460,퇴계로12길,11140,11140540,중구,회현동
12518,퇴계로20길,11140,11140550,중구,명동
12414,퇴계로_B,11140,11140590,중구,광희동
12385,다산로_A,11140,11140615,중구,신당동
12400,다산로35길,11140,11140615,중구,신당동
12387,다산로_B,11140,11140615,중구,신당동
12407,퇴계로_A,11140,11140615,중구,신당동
12543,다산로29길,11140,11140615,중구,신당동
13527,동호로_B,11140,11140625,중구,다산동
12498,다산로_C,11140,11140625,중구,다산동
12538,청구로,11140,11140625,중구,다산동
12506,다산로_E,11140,11140625,중구,다산동
12588,동호로_A,11140,11140635,중구,약수동
12569,동호로7길,11140,11140635,중구,약수동
12539,다산로_F,11140,11140645,중구,청구동
12500,다산로_D,11140,11140645,중구,청구동
13610,다산로_G,11140,11140645,중구,청구동
12405,퇴계로88길,11140,11140650,중구,신당5동
12390,다산로36길,11140,11140665,중구,동화동
12401,퇴계로86길,11140,11140665,중구,동화동
12419,퇴계로87길_B,11140,11140670,중구,황학동
12437,마장로9길,11140,11140670,중구,황학동
12434,난계로17길,11140,11140670,중구,황학동
