기준_년월_코드,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
201603,12169,용마산로115길_B,0.15,0.15,0.2,0.1,0.1,0.15,0.15,0.2,0.2,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.2,0.15,0.15,0.15,0.2,0.2
201603,12171,이문로30길_B,0.3,0.25,0.35,0.3,0.45,0.25,0.25,0.25,0.25,0.15,0.25,0.3,0.3,0.3,0.35,0.3,0.35,0.3,0.25,0.25,0.3,0.4
201603,12172,종암로19길,0.15,0.1,0.15,0.1,0.1,0.1,0.15,0.15,0.15,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.15,0.15
201603,12175,망우로_B,0.15,0.15,0.15,0.1,0.1,0.15,0.15,0.2,0.15,0.05,0.15,0.15,0.15,0.15,0.1,0.15,0.15,0.15,0.1,0.15,0.15,0.2
201603,12176,망우로_C,0.2,0.2,0.25,0.1,0.15,0.2,0.2,0.3,0.3,0.05,0.2,0.25,0.2,0.25,0.2,0.25,0.25,0.2,0.2,0.2,0.25,0.25
201603,12178,망우로62길,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.15,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
201603,12181,중랑역로_F,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.15,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15
201603,12441,마장로31길,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.15,0.15,0.05,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,0.1,0.1,0.1,0.1
201603,12436,청계천로12가길,0.15,0.15,0.15,0.05,0.15,0.15,0.15,0.2,0.15,0.05,0.2,0.2,0.15,0.15,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.15
201603,12437,마장로9길,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.1
201603,12440,수색로_B,0.1,0.1,0.15,0.05,0.05,0.1,0.15,0.15,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.1,0.1,0.1,0.1,0.1
201603,12400,다산로35길,0.2,0.2,0.2,0.05,0.2,0.25,0.2,0.2,0.1,0.8,0.2,0.2,0.15,0.15,0.25,0.2,0.25,0.2,0.2,0.2,0.15,0.1
201603,12397,방화동로_C,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1
201603,12398,장한로_B,0.15,0.15,0.15,0.05,0.1,0.15,0.15,0.15,0.15,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.15,0.15,0.15
201603,12399,퇴계로87길_A,0.2,0.2,0.2,0.1,0.15,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.2,0.2,0.25,0.25,0.25,0.2,0.2,0.2,0.2
201603,12401,퇴계로86길,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.05
201603,12732,연무장길,0.1,0.1,0.05,0,0.05,0.1,0.1,0.1,0.05,0,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.05
201603,12733,화곡로_K,0.1,0.1,0.15,0.1,0.1,0.1,0.1,0.15,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.1,0.1,0.1,0.1,0.15
201603,12734,한림말3길,0.45,0.4,0.5,0.25,0.3,0.45,0.45,0.45,0.5,0.15,0.5,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.35,0.45,0.45,0.45
201603,12737,한강대로62나길,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.05,0,0.1,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.05
201603,12735,양재대로124길,0.1,0.05,0.1,0.05,0.05,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.1
201603,12738,강서로17길,0.15,0.1,0.15,0.1,0.1,0.15,0.1,0.15,0.15,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.15,0.15
201603,11947,당산로44길,0.15,0.15,0.15,0.05,0.2,0.15,0.15,0.2,0.15,0.05,0.15,0.2,0.15,0.2,0.15,0.2,0.2,0.2,0.15,0.15,0.15,0.2
201603,11948,동일로242길,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
201603,12595,강서로_F,0.2,0.2,0.25,0.4,0.15,0.2,0.25,0.25,0.2,0.05,0.25,0.25,0.25,0.2,0.2,0.25,0.25,0.25,0.2,0.2,0.25,0.25
