TRDAR_CD,TRDAR_CD_NM,ADSTRD_CD,ADSTRD_CD_NM,SIGNGU_CD,SIGNGU_CD_NM
11947,당산로44길,11560560,당산2동,11560,영등포구
11948,동일로242길,11350630,상계1동,11350,노원구
11949,동일로_A,11350630,상계1동,11350,노원구
11950,동일로_B,11350630,상계1동,11350,노원구
11953,도봉로_A,11320521,도봉1동,11320,도봉구
11954,동일로_C,11350630,상계1동,11350,노원구
11955,동일로_D,11350630,상계1동,11350,노원구
11956,동일로242가길,11350630,상계1동,11350,노원구
11957,도봉로181길_A,11320521,도봉1동,11320,도봉구
11958,도봉로181길_B,11320521,도봉1동,11320,도봉구
11959,한글비석로_A,11350624,중계4동,11350,노원구
11960,노원로,11350640,상계2동,11350,노원구
11961,해등로_A,11320670,쌍문2동,11320,도봉구
11962,상계로,11350640,상계2동,11350,노원구
11963,한글비석로20길_A,11350624,중계4동,11350,노원구
11964,상계로23다길,11350640,상계2동,11350,노원구
11965,상계로1길,11350720,상계10동,11350,노원구
11966,해등로_B,11320670,쌍문2동,11320,도봉구
11967,덕릉로_A,11350624,중계4동,11350,노원구
11969,한글비석로20길_B,11350624,중계4동,11350,노원구
11970,상계로27길,11350670,상계5동,11350,노원구
11971,덕릉로83길,11350624,중계4동,11350,노원구
11972,도봉로_B,11320690,방학1동,11320,도봉구
11973,방학로_A,11320710,방학3동,11320,도봉구
11974,노원로34길,11350670,상계5동,11350,노원구
11975,한글비석로_B,11350670,상계5동,11350,노원구
11977,한글비석로_C,11350670,상계5동,11350,노원구
11978,한글비석로_D,11350670,상계5동,11350,노원구
11979,도당로27길,11320690,방학1동,11320,도봉구
11980,도봉로_C,11320690,방학1동,11320,도봉구
11981,방학로10길,11320700,방학2동,11320,도봉구
11982,도당로_A,11320690,방학1동,11320,도봉구
11983,도봉로156길,11320522,도봉2동,11320,도봉구
11984,도봉로145길,11320690,방학1동,11320,도봉구
11986,한글비석로_E,11350710,상계9동,11350,노원구
11987,도당로_B,11320690,방학1동,11320,도봉구
11988,동일로_E,11350710,상계9동,11350,노원구
11989,동일로_F,11350700,상계8동,11350,노원구
11990,마들로,11320690,방학1동,11320,도봉구
11992,도봉로150길,11320690,방학1동,11320,도봉구
11993,도당로13길_A,11320700,방학2동,11320,도봉구
11994,도봉로_D,11320690,방학1동,11320,도봉구
11995,도당로13길_B,11320700,방학2동,11320,도봉구
11997,동일로_G,11350695,상계6.7동,11350,노원구
11998,도봉로109길,11320680,쌍문3동,11320,도봉구
12000,도봉로114길,11320511,창1동,11320,도봉구
12001,도봉로_E,11320680,쌍문3동,11320,도봉구
12002,도봉로_F,11320511,창1동,11320,도봉구
12003,도봉로_G,11320511,창1동,11320,도봉구
12004,한글비석로_F,11350621,중계1동,11350,노원구
12005,도봉로113길,11320680,쌍문3동,11320,도봉구
12006,한글비석로_G,11350619,중계본동,11350,노원구
12009,동일로_H,11350695,상계6.7동,11350,노원구
12010,동일로_I,11350695,상계6.7동,11350,노원구
12011,한글비석로_H,11350621,중계1동,11350,노원구
12012,동일로_J,11350695,상계6.7동,11350,노원구
12013,한글비석로_I,11350619,중계본동,11350,노원구
12014,도봉로_H,11320680,쌍문3동,11320,도봉구
12015,노해로_A,11350640,상계2동,11350,노원구
12016,도봉로_I,11320670,쌍문2동,11320,도봉구
12017,노해로65길,11320515,창5동,11320,도봉구
12018,한글비석로_J,11350621,중계1동,11350,노원구
12019,한글비석로_K,11350619,중계본동,11350,노원구
12021,동일로_K,11350695,상계6.7동,11350,노원구
12024,노해로85길,11350640,상계2동,11350,노원구
12025,노해로63길,11320515,창5동,11320,도봉구
12026,삼양로144길,11320660,쌍문1동,11320,도봉구
12028,도봉로_J,11305610,수유1동,11305,강북구
12029,도봉로71길,11305610,수유1동,11305,강북구
12030,도봉로67길_A,11305535,미아동,11305,강북구
12031,덕릉로_B,11305535,미아동,11305,강북구
12032,도봉로_K,11305535,미아동,11305,강북구
12033,도봉로_L,11305535,미아동,11305,강북구
12034,도봉로67길_B,11305534,삼양동,11305,강북구
12035,도봉로77길,11305610,수유1동,11305,강북구
12037,수유로,11305660,인수동,11305,강북구
12038,노해로_B,11305630,수유3동,11305,강북구
12039,도봉로_M,11305610,수유1동,11305,강북구
12041,덕릉로_C,11305590,번1동,11305,강북구
12042,덕릉로60길,11320513,창3동,11320,도봉구
12043,한천로143길,11305630,수유3동,11305,강북구
12044,도봉로_N,11305590,번1동,11305,강북구
12045,한천로_A,11305630,수유3동,11305,강북구
12046,섬밭로,11350625,중계2.3동,11350,노원구
12047,노해로11길,11305630,수유3동,11305,강북구
12048,도봉로_O,11305590,번1동,11305,강북구
12049,진관3로,11380690,진관동,11380,은평구
12050,노해로17길,11305630,수유3동,11305,강북구
12051,동일로203가길,11350625,중계2.3동,11350,노원구
12052,한천로_B,11305630,수유3동,11305,강북구
12053,덕릉로57길,11320512,창2동,11320,도봉구
12054,한천로140길,11305630,수유3동,11305,강북구
12055,덕릉로_D,11320513,창3동,11320,도봉구
12056,덕릉로_E,11320512,창2동,11320,도봉구
12057,노해로_C,11305630,수유3동,11305,강북구
12058,석계로_A,11350560,월계1동,11350,노원구
12059,동일로180길,11350595,공릉1동,11350,노원구
12060,공릉로_A,11350595,공릉1동,11350,노원구
12062,연서로29길,11380551,갈현1동,11380,은평구
12063,갈현로_A,11380552,갈현2동,11380,은평구
12064,솔샘로_A,11305575,삼각산동,11305,강북구
12065,연서로_A,11380530,불광2동,11380,은평구
12066,갈현로_B,11380552,갈현2동,11380,은평구
12067,통일로_A,11380530,불광2동,11380,은평구
12069,솔샘로_B,11305534,삼양동,11305,강북구
12070,통일로87길,11380551,갈현1동,11380,은평구
12071,동일로_L,11350595,공릉1동,11350,노원구
12072,통일로83길,11380551,갈현1동,11380,은평구
12073,동일로_M,11350595,공릉1동,11350,노원구
12074,솔샘로67길,11305555,송천동,11305,강북구
12075,공릉로_B,11350600,공릉2동,11350,노원구
12076,동일로_N,11350595,공릉1동,11350,노원구
12077,도봉로50길,11305535,미아동,11305,강북구
