기준_년월_코드	상권_코드	상권_코드_명	관공서_수	은행_수	종합병원_수	일반_병원_수	약국_수	유치원_수	초등학교_수	중학교_수	고등학교_수	대학교_수	백화점_수	슈퍼마켓_수	극장_수	숙박_시설_수	공항_수	철도_역_수	버스_터미널_수	지하철_역_수	버스_정거장_수
201610	11947	당산로44길	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
201610	11948	동일로242길	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11949	동일로_A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11950	동일로_B	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11953	도봉로_A	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11954	동일로_C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
201610	11956	동일로242가길	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
201610	11957	도봉로181길_A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11958	도봉로181길_B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11962	상계로	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11963	한글비석로20길_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11964	상계로23다길	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11965	상계로1길	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11966	해등로_B	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11970	상계로27길	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11971	덕릉로83길	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11972	도봉로_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11974	노원로34길	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11975	한글비석로_B	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11978	한글비석로_D	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11979	도당로27길	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11981	방학로10길	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11982	도당로_A	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11983	도봉로156길	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11984	도봉로145길	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11992	도봉로150길	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11993	도당로13길_A	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11994	도봉로_D	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11995	도당로13길_B	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	11998	도봉로109길	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12001	도봉로_E	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12003	도봉로_G	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12005	도봉로113길	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12014	도봉로_H	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12015	노해로_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12017	노해로65길	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201610	12024	노해로85길	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
