기준_년월_코드	상권_코드	상권_코드_명	총_유동인구_수	남성_유동인구_수	여성_유동인구_수	연령대_10_유동인구_수	연령대_20_유동인구_수	연령대_30_유동인구_수	연령대_40_유동인구_수	연령대_50_유동인구_수	연령대_60_이상_유동인구_수	시간대_1_유동인구_수	시간대_2_유동인구_수	시간대_3_유동인구_수	시간대_4_유동인구_수	시간대_5_유동인구_수	시간대_6_유동인구_수	월요일_유동인구_수	화요일_유동인구_수	수요일_유동인구_수	목요일_유동인구_수	금요일_유동인구_수	토요일_유동인구_수	일요일_유동인구_수
201610	12169	용마산로115길_B	5299	2459	2840	224	608	991	1187	1415	873	23	760	1094	1213	1660	549	788	791	805	808	854	744	509
201610	12171	이문로30길_B	8605	3994	4611	729	2226	1391	1589	1524	1147	167	1321	1685	1851	2504	1077	1270	1348	1356	1341	1362	1081	848
201610	12172	종암로19길	3755	1614	2141	264	497	693	928	821	552	33	559	789	878	1155	340	563	600	611	591	624	468	298
201610	12175	망우로_B	5835	2667	3167	304	595	1078	1293	1542	1022	44	902	1185	1313	1814	577	866	883	897	892	949	787	562
201610	12176	망우로_C	17891	8264	9627	1261	2087	3216	3802	4292	3232	318	2978	3511	3869	5296	1919	2643	2714	2740	2728	2869	2404	1793
201610	12178	망우로62길	5415	2519	2897	322	591	947	1177	1433	945	39	856	1107	1209	1642	562	801	829	828	826	863	737	532
201610	12181	중랑역로_F	1844	845	999	29	123	406	475	551	261	1	254	387	418	621	163	279	291	284	280	298	258	154
201610	12436	청계천로12가길	2547	1372	1174	41	288	523	654	669	372	4	447	596	605	708	186	391	434	430	427	444	293	128
201610	12437	마장로9길	3010	1603	1407	58	416	721	711	688	417	45	477	723	767	778	221	452	492	496	490	515	359	206
201610	12440	수색로_B	3098	1408	1690	143	371	600	780	693	511	12	479	630	728	979	269	461	500	499	488	521	391	238
201610	12734	한림말3길	17203	7990	9213	986	2768	3891	3838	3191	2529	104	2792	3591	4087	5020	1609	2504	2820	2850	2809	2931	2054	1234
201610	12441	마장로31길	1981	1088	893	24	179	353	488	567	370	5	341	475	490	553	117	307	342	338	333	349	219	92
201610	12397	방화동로_C	3296	1691	1605	149	434	671	734	807	501	14	522	672	752	1013	323	485	509	515	511	560	422	294
201610	12398	장한로_B	4502	2314	2188	180	554	967	1063	1063	674	46	656	925	1021	1356	498	667	709	711	706	747	590	370
201610	12399	퇴계로87길_A	7417	3814	3603	288	1180	1675	1664	1557	1053	171	1162	1598	1720	2061	706	1121	1231	1245	1226	1289	862	442
201610	12400	다산로35길	6343	3480	2862	209	1005	1570	1538	1350	671	547	980	1325	1326	1488	677	961	1111	1109	1103	1140	655	263
201610	12732	연무장길	2602	1539	1063	22	392	714	705	590	178	4	390	632	690	751	134	405	477	475	466	489	219	70
201610	12733	화곡로_K	2816	1282	1534	168	318	580	639	701	411	22	426	565	643	888	272	417	443	448	432	467	367	243
201610	12658	상암로61길	885	344	541	127	50	120	242	235	111	0	111	170	238	319	46	126	150	151	144	162	94	58
201610	12401	퇴계로86길	3122	1569	1553	63	498	725	789	712	335	21	442	687	744	926	302	484	526	531	514	548	369	150
201610	12735	양재대로124길	1618	701	917	63	124	363	405	440	223	2	187	358	396	551	125	242	258	253	246	271	217	131
201610	12737	한강대로62나길	2935	1555	1380	72	563	744	730	535	291	12	426	672	748	860	216	431	470	475	475	517	366	201
201610	12738	강서로17길	8022	3620	4401	586	1022	1675	1704	1738	1297	174	1283	1529	1705	2390	940	1182	1236	1241	1211	1280	1076	796
201610	12595	강서로_F	10356	4655	5701	1233	1165	2027	2529	2081	1320	171	1798	2058	2366	2912	1051	1511	1605	1632	1575	1689	1351	993
201610	12597	천호대로112길	2730	1260	1470	127	405	599	616	613	369	22	411	556	630	841	269	408	442	440	430	456	343	211
201610	11947	당산로44길	10305	5272	5033	453	1652	2391	2383	2081	1344	65	1578	2146	2420	3106	990	1495	1662	1668	1639	1749	1266	826
201610	11948	동일로242길	3579	1603	1976	241	349	683	889	892	526	10	540	714	816	1141	358	519	541	550	539	587	494	349
201610	12656	독서당로_C	5127	2460	2667	217	635	1055	1128	1110	983	35	824	1093	1209	1506	460	764	816	828	813	852	647	406
201610	12657	장터길_B	4576	2040	2536	193	596	1010	1048	963	765	27	702	958	1077	1407	404	675	730	738	730	770	582	352
201610	12730	화곡로13길	1871	767	1104	142	194	355	416	492	272	9	273	361	440	609	179	277	293	297	285	307	243	168
201610	11992	도봉로150길	5737	2616	3120	403	706	951	1285	1383	1008	55	897	1137	1276	1762	610	849	878	886	862	924	772	567
201610	12599	백범로_A	4390	2114	2275	231	1326	907	843	707	376	104	526	915	1022	1315	507	627	689	693	681	749	588	362
201610	12659	마포대로14길	4320	2147	2173	136	604	1100	1118	931	431	22	649	973	1069	1226	381	659	741	739	725	753	444	260
201610	12661	올림픽로92길	3037	1414	1623	169	309	638	683	740	499	16	454	622	689	955	301	445	463	467	458	495	420	289
201610	12662	독막로8길	1344	727	617	49	398	372	301	159	65	49	131	237	308	449	170	175	209	218	212	247	178	105
201610	12663	마포대로12길	5779	2886	2893	202	851	1436	1461	1202	627	26	895	1311	1445	1588	515	888	990	989	974	1010	556	373
201610	12727	구천면로_D	1807	798	1008	60	238	375	393	470	271	12	219	384	442	596	155	257	274	275	269	298	273	160
201610	11975	한글비석로_B	2021	778	1243	178	236	316	557	518	215	6	240	396	482	681	216	292	313	314	313	338	268	183
201610	11978	한글비석로_D	3012	1191	1822	290	348	487	814	744	330	15	384	590	710	992	321	433	459	458	457	488	422	296
201610	11979	도당로27길	1402	625	777	46	131	226	358	429	211	0	185	290	330	486	110	212	224	227	215	236	175	112
201610	11981	방학로10길	3111	1342	1768	232	270	461	763	873	511	3	448	627	725	1018	289	462	481	479	460	501	428	299
201610	11982	도당로_A	2143	912	1231	113	142	265	578	692	352	6	293	449	525	709	160	327	340	343	335	355	272	171
201610	11983	도봉로156길	3771	1758	2013	169	381	660	906	998	657	16	559	792	886	1184	334	564	588	593	576	620	487	343
201610	11984	도봉로145길	4829	2205	2624	313	475	824	1131	1237	849	30	760	960	1085	1513	482	714	743	747	727	781	650	467
201610	11949	동일로_A	11565	5263	6301	901	1203	2209	2780	2655	1816	88	1866	2253	2625	3523	1209	1659	1731	1760	1736	1881	1619	1179
201610	11950	동일로_B	9661	4500	5160	690	936	1846	2338	2316	1534	80	1598	1885	2172	2969	957	1407	1452	1469	1450	1572	1344	967
201610	11957	도봉로181길_A	298	123	176	0	2	36	79	130	51	0	42	63	83	107	3	43	44	46	46	49	43	28
201610	11953	도봉로_A	1578	723	855	52	123	256	406	490	251	2	219	334	384	524	115	242	256	258	248	267	185	121
201610	11954	동일로_C	3616	1616	2000	260	358	687	884	872	556	21	556	720	824	1128	367	524	543	550	542	588	505	364
201610	11956	동일로242가길	6567	3007	3561	450	697	1217	1553	1571	1080	51	1040	1289	1492	2039	656	953	982	997	980	1065	926	664
201610	11958	도봉로181길_B	1506	688	818	33	100	235	371	485	281	1	227	322	381	491	84	217	226	231	226	245	208	152
201610	12185	망우로_E	5213	2379	2834	318	514	950	1146	1375	909	30	829	1056	1170	1621	507	760	792	788	783	835	724	532
201610	12186	종암로_B	5322	2480	2841	334	539	958	1270	1234	987	25	859	1115	1232	1607	484	806	841	850	827	870	677	451
201610	12600	양재대로128길	1682	723	959	110	181	329	389	420	252	2	219	351	397	563	150	248	267	264	261	286	218	138
201610	12602	능동로15길	2562	1259	1303	118	889	555	446	382	172	75	307	521	580	758	321	367	404	407	401	418	342	223
201610	12603	청파로_C	3233	1542	1691	208	841	727	670	481	305	35	447	728	816	917	291	476	544	543	540	552	338	240
201610	12516	양화로23길	5626	2630	2995	364	1707	1266	1030	770	489	149	681	1052	1241	1756	748	776	846	856	850	950	817	530
201610	11963	한글비석로20길_A	33202	14289	18913	3762	4270	5298	7849	7007	5016	626	5347	6194	7091	9919	4026	4872	5077	5104	5055	5307	4459	3328
201610	12286	창덕궁1길	3544	1977	1566	113	582	968	924	640	316	2	507	895	1038	955	146	507	608	620	611	648	368	182
201610	12287	율곡로3길	4133	2178	1955	213	671	993	1025	741	490	19	590	972	1134	1162	256	587	693	721	704	750	444	234
201610	12288	안암로_C	5893	3428	2465	316	1507	1092	1168	1054	756	96	843	1337	1412	1634	571	914	1020	1018	1004	1023	563	351
201610	12290	북촌로5가길	1070	636	435	15	165	360	327	172	32	0	146	288	351	272	13	160	205	208	206	212	68	11
201610	12291	사가정로_A	7928	3748	4180	500	1055	1430	1676	1903	1362	108	1228	1526	1692	2457	917	1162	1199	1201	1196	1261	1120	789
201610	12292	자하문로9길	2799	1386	1413	166	436	638	753	570	236	0	397	671	768	804	159	400	462	480	472	507	310	170
201610	12294	면목로_G	5495	2532	2964	284	692	1041	1215	1341	923	53	843	1073	1179	1753	594	812	841	844	832	892	760	516
201610	12506	다산로_E	3216	1597	1620	96	529	773	784	690	345	65	468	706	746	923	309	491	543	542	534	559	358	190
201610	12508	월드컵로_G	5568	2628	2940	334	888	1252	1314	1032	748	87	796	1115	1293	1679	598	807	864	869	851	925	743	509
201610	12510	장한로2길	2609	1537	1072	11	329	581	643	680	365	7	398	627	667	723	188	400	436	442	436	455	278	161
201610	12511	화곡로63길	4113	1949	2164	279	490	880	1004	978	482	10	620	911	1002	1195	375	603	644	647	645	684	536	354
201610	12512	행당로17길	2551	1166	1385	195	451	507	581	513	304	26	359	525	598	773	270	373	403	404	403	426	333	210
201610	12024	노해로85길	7476	3241	4235	794	1055	1238	1761	1553	1074	90	1072	1479	1686	2232	917	1070	1124	1127	1114	1199	1047	796
201610	12025	노해로63길	6122	2609	3513	515	772	1046	1426	1444	918	65	933	1182	1357	1912	673	902	950	960	945	1027	794	543
201610	12026	삼양로144길	541	168	373	14	47	82	167	175	56	0	68	127	145	179	21	85	93	92	90	92	58	31
201610	12029	도봉로71길	2145	891	1254	112	262	380	497	562	333	12	312	452	507	662	200	323	339	339	329	352	278	185
201610	12030	도봉로67길_A	3822	1648	2174	251	494	658	866	936	617	24	568	798	893	1141	397	567	593	599	580	614	505	365
201610	12059	동일로180길	2488	1223	1265	112	359	482	599	603	332	13	378	528	562	775	232	378	399	402	400	417	309	184
201610	12062	연서로29길	5597	2415	3181	557	700	1027	1237	1217	859	57	842	1080	1241	1744	633	809	852	862	832	896	782	564
201610	12403	퇴계로83길	7071	3744	3327	215	1190	1628	1588	1496	954	314	1099	1492	1582	1826	759	1064	1171	1182	1160	1217	815	462
201610	12404	아리수로93길	2552	1241	1311	145	104	650	740	615	299	0	468	529	633	766	157	381	402	412	412	435	316	194
201610	12405	퇴계로88길	1630	828	802	23	224	377	436	408	163	12	220	369	394	489	146	255	279	278	269	288	187	74
201610	12408	천호대로_B	2808	1522	1285	71	322	592	701	726	396	17	443	622	669	823	234	433	472	478	466	489	304	167
201610	12277	세검정로1길	4681	2206	2475	171	341	889	1277	1231	772	4	732	987	1133	1448	377	671	718	720	709	775	652	436
201610	12278	면목로_D	8067	3785	4282	544	1138	1411	1680	1917	1378	150	1258	1518	1706	2507	928	1200	1230	1240	1232	1310	1099	756
201610	12950	오목로54길	6416	2768	3648	752	816	1205	1653	1325	665	33	872	1290	1561	1961	699	936	1000	1011	988	1062	837	582
201610	12063	갈현로_A	5735	2446	3289	596	727	1049	1250	1258	855	50	832	1104	1290	1791	667	834	866	871	837	906	805	616
201610	12066	갈현로_B	7744	3450	4294	811	992	1402	1683	1613	1243	92	1232	1504	1712	2311	892	1117	1174	1180	1144	1220	1069	839
201610	12067	통일로_A	9201	4209	4993	816	1020	1637	2049	1977	1702	170	1590	1763	2003	2720	954	1363	1429	1442	1411	1504	1203	848
201610	12409	용답19길	1061	528	533	17	163	211	280	290	99	3	144	236	257	334	88	161	178	180	176	185	121	60
201610	12273	망우로32길	3920	1858	2062	208	574	764	874	956	544	30	554	792	875	1224	446	584	606	610	601	624	529	366
201610	12275	봉우재로43길	1753	793	961	70	197	327	416	516	228	7	218	349	412	597	170	262	263	271	271	289	240	158
201610	12276	봉우재로33길_B	3869	1771	2099	186	530	735	841	970	607	35	549	767	859	1229	431	564	570	583	584	617	556	396
201610	12761	등촌로_F	6960	3254	3706	658	865	1316	1617	1499	1005	105	1087	1375	1571	2048	775	1015	1081	1080	1058	1127	928	672
201610	12762	이태원로_B	2442	1230	1212	12	570	682	573	442	164	108	267	508	586	727	246	331	371	374	368	423	358	217
201610	12763	곰달래로13길_B	4542	2085	2457	267	534	902	987	1118	734	80	719	868	963	1357	555	670	691	685	670	706	633	488
201610	12764	이태원로19길	2721	1388	1333	50	740	697	554	446	233	176	297	487	592	819	350	343	374	384	382	457	476	303
201610	12947	선유로_C	3423	1871	1552	66	467	925	897	723	345	5	526	802	870	983	237	529	591	590	576	606	341	190
201610	12948	영등포로5길	3201	1720	1481	67	450	857	821	676	329	5	491	723	791	967	225	488	551	556	538	570	350	149
201610	12951	신목로_B	3493	1445	2047	406	386	664	932	763	342	15	450	709	885	1122	312	500	537	540	535	582	473	326
201610	11964	상계로23다길	1964	826	1138	177	313	353	500	446	174	7	216	382	460	673	225	280	298	301	301	328	278	179
201610	12005	도봉로113길	2803	1165	1638	183	339	553	653	668	407	5	398	575	657	889	278	418	436	444	431	463	359	252
201610	12014	도봉로_H	12642	5563	7078	942	1630	2163	2733	2907	2267	142	2044	2473	2764	3873	1346	1886	1976	1991	1941	2077	1634	1135
201610	12015	노해로_A	10541	4556	5985	1035	1562	1852	2451	2161	1480	190	1512	2054	2369	3181	1234	1479	1569	1580	1575	1715	1489	1135
201610	12017	노해로65길	9685	4213	5472	819	1257	1739	2241	2219	1410	55	1461	1882	2200	2962	1125	1425	1497	1504	1489	1602	1254	914
